t,I_fixed,I_smooth,slope,dx,dy
0.000000,0.038500,0.038500,0.000000,0,0
0.200000,0.038500,0.038500,0.000000,0,0
0.400000,0.038500,0.038500,0.000000,0,0
0.600000,0.038500,0.038500,0.000000,0,0
0.800000,0.038500,0.038500,0.000000,0,0
1.000000,0.038500,0.038500,0.000000,0,0
1.200000,0.038500,0.038500,0.000000,0,0
1.400000,0.038500,0.038500,0.000000,0,0
1.600000,0.038500,0.038500,0.000000,0,0
1.800000,0.038500,0.038500,0.000000,0,0
2.000000,0.038500,0.038500,0.000000,0,0
2.200000,0.038500,0.038500,0.000000,0,0
2.400000,0.038500,0.038500,0.000000,0,0
2.600000,0.038500,0.038500,0.000000,0,0
2.800000,0.038500,0.038500,0.000000,0,0
3.000000,0.038500,0.038500,0.000000,0,0
3.200000,0.038500,0.038500,0.000000,0,0
3.400000,0.038500,0.038500,0.000000,0,0
3.600000,0.038500,0.038500,0.000000,0,0
3.800000,0.038500,0.038500,0.000000,0,0
4.000000,0.038500,0.038500,0.000000,0,0
4.200000,0.038500,0.038500,0.000000,0,0
4.400000,0.038500,0.038500,0.000000,0,0
4.600000,0.038500,0.038500,0.000000,0,0
4.800000,0.038500,0.038500,0.000000,0,0
5.000000,0.038500,0.038500,0.000000,0,0
5.200000,0.038500,0.038500,0.000000,0,0
5.400000,0.038500,0.038500,0.000000,0,0
5.600000,0.038500,0.038500,0.000000,0,0
5.800000,0.038500,0.038500,0.000000,0,0
6.000000,0.038500,0.038500,0.000000,0,0
6.200000,0.038500,0.038500,0.000000,0,0
6.400000,0.038500,0.038500,0.000000,0,0
6.600000,0.038500,0.038500,0.000000,0,0
6.800000,0.038500,0.038500,0.000000,0,0
7.000000,0.038500,0.038500,0.000001,0,0
7.200000,0.038500,0.038501,0.000001,0,0
7.400000,0.038500,0.038501,0.000001,0,0
7.600000,0.038500,0.038501,0.000001,0,0
7.800000,0.038500,0.038501,0.000001,0,0
8.000000,0.038500,0.038501,0.000002,0,0
8.200000,0.038500,0.038502,0.000002,0,0
8.400000,0.038500,0.038502,0.000002,0,0
8.600000,0.038500,0.038502,0.000003,0,0
8.800000,0.038500,0.038503,0.000003,0,0
9.000000,0.038500,0.038503,0.000004,0,0
9.200000,0.038500,0.038504,0.000005,0,0
9.400000,0.038500,0.038505,0.000006,0,0
9.600000,0.038500,0.038506,0.000008,0,0
9.800000,0.038500,0.038508,0.000009,0,0
10.000000,0.038500,0.038509,0.000011,0,0
10.200000,0.038500,0.038511,0.000014,0,0
10.400000,0.038500,0.038514,0.000017,0,0
10.600000,0.038500,0.038517,0.000021,0,0
10.800000,0.038500,0.038521,0.000025,0,0
11.000000,0.038500,0.038525,0.000031,0,0
11.200000,0.038500,0.038531,0.000038,0,0
11.400000,0.038500,0.038538,0.000046,0,0
11.600000,0.038500,0.038546,0.000056,0,0
11.800000,0.038500,0.038557,0.000069,0,0
12.000000,0.038500,0.038569,0.000084,0,0
12.200000,0.038500,0.038584,0.000103,0,0
12.400000,0.038500,0.038603,0.000125,0,0
12.600000,0.038500,0.038626,0.000153,0,0
12.800000,0.038500,0.038654,0.000187,0,0
13.000000,0.038500,0.038688,0.000228,0,0
13.200000,0.038500,0.038729,0.000279,0,0
13.400000,0.038500,0.038780,0.000340,0,0
13.600000,0.038500,0.038842,0.000416,0,0
13.800000,0.038500,0.038918,0.000508,0,0
14.000000,0.038500,0.039010,0.000620,0,0
14.200000,0.038500,0.039123,0.000758,0,0
14.400000,0.038500,0.039261,0.000925,0,0
14.600000,0.038500,0.039430,0.001130,0,0
14.800000,0.038500,0.039636,0.001381,0,0
15.000000,0.038500,0.039887,0.001686,0,0
15.200000,0.038500,0.040194,0.002060,0,0
15.400000,0.038500,0.040569,0.002516,0,0
15.600000,0.038500,0.041027,0.003073,0,0
15.800000,0.038500,0.041587,0.003753,0,0
16.000000,0.038500,0.042270,0.004584,0,0
16.200001,0.038500,0.043105,0.005599,0,0
16.400000,0.038500,0.044125,0.006838,0,0
16.600000,0.038500,0.045370,0.008352,0,0
16.799999,0.038500,0.046891,0.010202,0,0
17.000000,0.038500,0.048749,0.012460,0,0
17.200001,0.038500,0.051018,0.015219,0,0
17.400000,0.038500,0.053790,0.018589,0,0
17.600000,0.038500,0.057175,0.022704,0,0
17.799999,0.038500,0.061310,0.027731,0,0
18.000000,0.038500,0.066360,0.033871,0,0
18.200001,0.038500,0.072528,0.041370,0,0
18.400000,0.038500,0.080062,0.050529,0,0
18.600000,0.038500,0.089264,0.061717,0,0
18.799999,0.038500,0.100503,0.075222,0,0
19.000000,0.038500,0.114230,0.091157,0,0
19.200001,0.038500,0.130997,0.109392,0,0
19.400000,0.038500,0.151476,0.129514,0,0
19.600000,0.038500,0.176490,0.150817,0,0
19.799999,0.038500,0.207041,0.172300,0,0
20.000000,0.038500,0.244357,0.192696,0,0
20.200001,0.160767,0.289934,0.210676,0,0
20.400000,0.270320,0.340695,0.225020,0,0
20.600000,0.370511,0.394280,0.234790,0,0
20.799999,0.462443,0.448820,0.239487,0,0
21.000000,0.546311,0.502813,0.239025,0,0
21.200001,0.621940,0.555060,0.233687,0,0
21.400000,0.689040,0.604622,0.224070,0,0
21.600000,0.747356,0.650797,0.211000,0,0
21.799999,0.796793,0.693097,0.195434,0,0
22.000000,0.837503,0.731235,0.178328,0,0
22.200001,0.869945,0.765108,0.160491,0,0
22.400000,0.894887,0.794774,0.142596,0,0
22.600000,0.913351,0.820421,0.125185,0,0
22.799999,0.926505,0.842339,0.108676,0,0
23.000000,0.935528,0.860880,0.093365,0,0
23.200001,0.941498,0.876424,0.079438,0,0
23.400000,0.945310,0.889357,0.066985,0,0
23.600000,0.947650,0.900044,0.056013,0,0
23.799999,0.949010,0.908820,0.046472,0,0
24.000000,0.949723,0.915984,0.038264,0,0
24.200001,0.950005,0.921793,0.031267,0,0
24.400000,0.949993,0.926470,0.025346,0,0
24.600000,0.949776,0.930203,0.020365,0,0
24.799999,0.949411,0.933151,0.016193,0,0
25.000000,0.948935,0.935446,0.012711,0,0
25.200001,0.948376,0.937199,0.009812,0,0
25.400000,0.947753,0.938504,0.007405,0,0
25.600000,0.947081,0.939438,0.005410,0,0
25.799999,0.946372,0.940065,0.003758,0,0
26.000000,0.945633,0.940439,0.002394,0,0
26.200001,0.944873,0.940605,0.001269,0,0
26.400000,0.944098,0.940599,0.000344,0,0
26.600000,0.943311,0.940453,-0.000415,0,0
26.799999,0.942518,0.940192,-0.001037,0,0
27.000000,0.941720,0.939838,-0.001543,0,0
27.200001,0.940922,0.939408,-0.001954,0,0
27.400000,0.940125,0.938918,-0.002285,0,0
27.600000,0.939331,0.938379,-0.002550,0,0
27.799999,0.938542,0.937802,-0.002761,0,0
28.000000,0.937759,0.937195,-0.002925,0,0
28.200001,0.936983,0.936566,-0.003052,0,0
28.400000,0.936215,0.935919,-0.003146,0,0
28.600000,0.935456,0.935261,-0.003215,0,0
28.799999,0.934706,0.934595,-0.003262,0,0
29.000000,0.933966,0.933925,-0.003290,0,0
29.200001,0.933236,0.933253,-0.003304,0,0
29.400000,0.932517,0.932582,-0.003305,0,0
29.600000,0.931809,0.931913,-0.003296,0,0
29.799999,0.931112,0.931248,-0.003279,0,0
30.000000,0.930427,0.930589,-0.003254,0,0
