t,heat_t0,heat_t1,heat_t2,heat_t3
0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.000000,0.000000,0.000000,0.000000
0.400000,0.000000,0.000000,0.000000,0.000000
0.600000,0.000000,0.000000,0.000000,0.000000
0.800000,0.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000,0.000000
1.200000,0.000000,0.000000,0.000000,0.000000
1.400000,0.000000,0.000000,0.000000,0.000000
1.600000,0.000000,0.000000,0.000000,0.000000
1.800000,0.000000,0.000000,0.000000,0.000000
2.000000,0.000000,0.000000,0.000000,0.000000
2.200000,0.000000,0.000000,0.000000,0.000000
2.400000,0.000000,0.000000,0.000000,0.000000
2.600000,0.000000,0.000000,0.000000,0.000000
2.800000,0.000000,0.000000,0.000000,0.000000
3.000000,0.000000,0.000000,0.000000,0.000000
3.200000,0.000000,0.000000,0.000000,0.000000
3.400000,0.000000,0.000000,0.000000,0.000000
3.600000,0.000000,0.000000,0.000000,0.000000
3.800000,0.000000,0.000000,0.000000,0.000000
4.000000,0.000000,0.000000,0.000000,0.000000
4.200000,0.000000,0.000000,0.000000,0.000000
4.400000,0.000000,0.000000,0.000000,0.000000
4.600000,0.000000,0.000000,0.000000,0.000000
4.800000,0.000000,0.000000,0.000000,0.000000
5.000000,0.000000,0.000000,0.000000,0.000000
5.200000,0.000000,0.000000,0.000000,0.000000
5.400000,0.000000,0.000000,0.000000,0.000000
5.600000,0.000000,0.000000,0.000000,0.000000
5.800000,0.000000,0.000000,0.000000,0.000000
6.000000,0.000000,0.000000,0.000000,0.000000
6.200000,0.000000,0.000000,0.000000,0.000000
6.400000,0.000000,0.000000,0.000000,0.000000
6.600000,0.000000,0.000000,0.000000,0.000000
6.800000,0.000000,0.000000,0.000000,0.000000
7.000000,0.000000,0.000000,0.000000,0.000000
7.200000,0.000000,0.000000,0.000000,0.000000
7.400000,0.000000,0.000000,0.000000,0.000000
7.600000,0.000000,0.000000,0.000000,0.000000
7.800000,0.000000,0.000000,0.000000,0.000000
8.000000,0.000000,0.000000,0.000000,0.000000
8.200000,0.000000,0.000000,0.000000,0.000000
8.400000,0.000000,0.000000,0.000000,0.000000
8.600000,0.000000,0.000000,0.000000,0.000000
8.800000,0.000000,0.000000,0.000000,0.000000
9.000000,0.000000,0.000000,0.000000,0.000000
9.200000,0.000000,0.000000,0.000000,0.000000
9.400000,0.000000,0.000000,0.000000,0.000000
9.600000,0.000000,0.000000,0.000000,0.000000
9.800000,0.000000,0.000000,0.000000,0.000000
10.000000,0.000000,0.000000,0.000000,0.000000
10.200000,0.000000,0.000000,0.000000,0.000000
10.400000,0.000000,0.000000,0.000000,0.000000
10.600000,0.000000,0.000000,0.000000,0.000000
10.800000,0.000000,0.000000,0.000000,0.000000
11.000000,0.000000,0.000000,0.000000,0.000000
11.200000,0.000000,0.000000,0.000000,0.000000
11.400000,0.000000,0.000000,0.000000,0.000000
11.600000,0.000000,0.000000,0.000000,0.000000
11.800000,0.000000,0.000000,0.000000,0.000000
12.000000,0.000000,0.000000,0.000000,0.000000
12.200000,0.000000,0.000000,0.000000,0.000000
12.400000,0.000000,0.000000,0.000000,0.000000
12.600000,0.000000,0.000000,0.000000,0.000000
12.800000,0.000000,0.000000,0.000000,0.000000
13.000000,0.000000,0.000000,0.000000,0.000000
13.200000,0.000000,0.000000,0.000000,0.000000
13.400000,0.000000,0.000000,0.000000,0.000000
13.600000,0.000000,0.000000,0.000000,0.000000
13.800000,0.000000,0.000000,0.000000,0.000000
14.000000,0.000000,0.000000,0.000000,0.000000
14.200000,0.000000,0.000000,0.000000,0.000000
14.400000,0.000000,0.000000,0.000000,0.000000
14.600000,0.000000,0.000000,0.000000,0.000000
14.800000,0.000000,0.000000,0.000000,0.000000
15.000000,0.000000,0.000000,0.000000,0.000000
15.200000,0.000000,0.000000,0.000000,0.000000
15.400000,0.000000,0.000000,0.000000,0.000000
15.600000,0.000000,0.000000,0.000000,0.000000
15.800000,0.000001,0.000000,0.000000,0.000000
16.000000,0.000006,0.000000,0.000000,0.000000
16.200001,0.000020,0.000000,0.000000,0.000000
16.400000,0.000068,0.000000,0.000000,0.000000
16.600000,0.000211,0.000000,0.000000,0.000000
16.799999,0.000611,0.000000,0.000000,0.000000
17.000000,0.001646,0.000000,0.000000,0.000000
17.200001,0.004126,0.000000,0.000000,0.000000
17.400000,0.009636,0.000000,0.000000,0.000000
17.600000,0.020957,0.000000,0.000000,0.000000
17.799999,0.042451,0.000000,0.000000,0.000000
18.000000,0.080088,0.000000,0.000000,0.000000
18.200001,0.140722,0.000000,0.000000,0.000000
18.400000,0.230288,0.000000,0.000000,0.000000
18.600000,0.350994,0.000000,0.000000,0.000000
18.799999,0.498246,0.000000,0.000000,0.000000
19.000000,0.658728,0.000000,0.000000,0.000000
19.200001,0.811120,0.000000,0.000000,0.000000
19.400000,0.930207,0.000000,0.000000,0.000000
19.600000,0.993554,0.000000,0.000000,0.000000
19.799999,0.988372,0.000000,0.000000,0.000000
20.000000,0.915727,0.000000,0.000000,0.000000
20.200001,0.790184,0.000000,0.000000,0.000000
20.400000,0.635050,0.000000,0.000000,0.000000
20.600000,0.475340,0.000000,0.000000,0.000000
20.799999,0.331374,0.000000,0.000000,0.000000
21.000000,0.215153,0.000000,0.000000,0.000000
21.200001,0.130105,0.000000,0.000000,0.000000
21.400000,0.073275,0.000000,0.000000,0.000000
21.600000,0.038436,0.000000,0.000000,0.000000
21.799999,0.018777,0.000000,0.000000,0.000000
22.000000,0.008544,0.000000,0.000000,0.000000
22.200001,0.003621,0.000000,0.000000,0.000000
22.400000,0.001429,0.000000,0.000000,0.000000
22.600000,0.000525,0.000000,0.000000,0.000000
22.799999,0.000180,0.000000,0.000000,0.000000
23.000000,0.000057,0.000000,0.000000,0.000000
23.200001,0.000017,0.000000,0.000000,0.000000
23.400000,0.000005,0.000000,0.000000,0.000000
23.600000,0.000001,0.000000,0.000000,0.000000
23.799999,0.000000,0.000000,0.000000,0.000000
24.000000,0.000000,0.000000,0.000000,0.000000
24.200001,0.000000,0.000000,0.000000,0.000000
24.400000,0.000000,0.000000,0.000000,0.000000
24.600000,0.000000,0.000000,0.000000,0.000000
24.799999,0.000000,0.000000,0.000000,0.000000
25.000000,0.000000,0.000001,0.000000,0.000000
25.200001,0.000000,0.000004,0.000000,0.000000
25.400000,0.000000,0.000013,0.000000,0.000000
25.600000,0.000000,0.000045,0.000000,0.000000
25.799999,0.000000,0.000144,0.000000,0.000000
26.000000,0.000000,0.000426,0.000000,0.000000
26.200001,0.000000,0.001175,0.000000,0.000000
26.400000,0.000000,0.003021,0.000000,0.000000
26.600000,0.000000,0.007232,0.000000,0.000000
26.799999,0.000000,0.016122,0.000000,0.000000
